Crate,Features,Feature dependencies,Configurations,Default only configurations,Unique configurations,Estimated number of configurations (flat),Estimated number of configurations (FCA),Configuration number (flat),Configuration number (FCA),FCA Quality
der@0.8.0-rc.10,17,8,105,22,9,41472,19584,40960,32768,0.9473684210526315
deranged@0.5.5,13,6,11,2,3,2592,1620,,,
derive_more@0.99.20,29,25,77,72,4,234881024,167772176,,,
digest@0.11.0-rc.4,13,6,104,51,7,1296,1296,1152,1024,1
displaydoc@0.2.5,2,1,999,537,2,3,3,2,2,1
either@1.15.0,4,2,993,766,5,12,10,6,6,0.9977628635346756
encoding_rs@0.8.35,14,7,1000,970,4,12288,4752,8192,8192,0.9977777777777778
env_logger@0.11.8,10,9,845,815,7,256,111,12,12,0.9868593955321945
errno@0.3.14,2,1,828,528,2,3,3,2,2,1
event-listener@5.4.1,8,4,517,431,4,96,80,12,12,0.9935622317596566
fastrand@2.3.0,5,4,920,905,4,18,10,2,2,0.9891304347826086
fixedbitset@0.5.7,3,1,822,731,3,6,6,6,6,1
flate2@1.1.5,16,17,988,860,12,5832,1262,112,80,0.9303370786516854
fnv@1.0.7,2,1,1000,972,2,3,3,2,2,1
foreign-types@0.5.0,2,1,515,514,2,3,3,1,1,1
form_urlencoded@1.2.2,3,2,982,957,4,6,4,2,2,0.9819004524886877
funty@3.0.0-rc2,2,1,2,0,1,3,3,,,
futures@0.3.31,13,10,1000,923,11,1792,608,320,320,0.9577777777777777
futures-channel@0.3.31,7,3,968,776,8,72,48,20,20,0.9839449541284404
futures-core@0.3.31,6,2,1000,784,5,48,32,24,24,0.9955555555555555
futures-executor@0.3.31,4,3,999,904,4,9,8,2,2,0.9066666666666666
futures-io@0.3.31,3,1,1000,860,4,6,6,6,6,1
futures-lite@2.6.1,8,7,951,774,6,96,54,10,10,0.9988317757009346
futures-sink@0.3.31,3,2,999,597,4,6,4,3,3,0.8944444444444445
futures-task@0.3.31,5,2,473,194,4,24,16,12,12,1
futures-util@0.3.31,23,19,1000,853,15,718848,63552,22528,20480,0.9866666666666667
generic-array@1.3.5,11,2,319,218,11,1152,1152,768,768,0.9826388888888888
getrandom@0.3.4,5,2,522,168,7,24,20,6,5,0.9808510638297873
gimli@0.32.3,13,12,329,203,9,1080,440,56,48,0.9562289562289562
h2@0.4.12,3,0,960,933,3,8,8,4,4,0.9837962962962963
half@2.7.1,13,3,966,184,23,4608,3072,1152,832,0.9689655172413794
hashbrown@0.16.1,15,11,381,167,18,9216,4998,448,320,0.7230320699708455
hashlink@0.11.0,3,1,6,6,1,6,6,,,
hermit-abi@0.5.2,4,2,15,13,2,12,10,,,
hex@0.4.3,4,2,998,913,6,12,8,4,4,0.9888765294771968
hmac@0.13.0-rc.3,2,0,24,15,2,4,4,,,
http@1.4.0,2,1,427,421,3,3,3,1,1,0.987012987012987
http-body-util@0.1.3,4,2,1000,970,3,8,8,3,3,1
httparse@1.10.1,2,1,969,900,3,3,3,2,2,0.9942726231386025
humantime@2.3.0,2,0,999,989,2,4,4,2,2,0.99
hyper@1.8.1,23,21,799,241,24,1327104,247040,3072,2112,0.9847222222222223
hyper-rustls@0.27.7,14,9,504,84,46,4608,2640,1518,630,0.9096916299559471
hyper-tls@0.6.0,3,0,586,550,5,8,8,5,4,0.9924242424242424
hyper-util@0.1.18,25,33,983,113,53,4325376,398644,910,294,0.9491525423728814
iana-time-zone@0.1.64,2,0,577,511,4,4,4,2,2,0.9346153846153846
icu_collections@2.1.1,4,1,19,0,3,16,12,,,
icu_normalizer@2.0.1,11,8,35,15,5,576,342,,,
icu_properties@2.0.2,9,5,79,40,6,144,80,,,
icu_provider@2.1.1,20,19,147,5,10,89856,21588,262144,196608,1
idna@1.1.0,4,3,403,368,4,12,7,3,3,0.9752066115702479
idna_adapter@1.2.1,2,0,5,5,1,4,4,,,
indexmap@2.12.1,10,2,940,388,10,576,576,384,384,1
instant@0.1.13,8,3,921,335,11,192,144,12,12,0.9288299155609168
io-lifetimes@3.0.1,10,3,1,1,1,768,576,,,
ipnet@2.11.0,7,4,1000,724,8,54,45,36,36,1
is_terminal_polyfill@1.48.2,1,0,12,12,1,2,2,,,
itertools@0.14.0,3,2,763,720,4,6,4,3,3,0.9679767103347889
js-sys@0.3.82,2,1,927,913,3,3,3,1,1,0.9832335329341317
lazy_static@1.5.0,3,1,992,842,4,6,6,8,8,1
lazycell@1.3.0,5,2,526,526,1,24,20,16,16,1
libc@0.2.177,8,4,985,946,4,144,100,128,128,1
libloading@0.9.0,2,1,70,70,1,3,3,,,
libm@0.2.15,7,3,992,829,3,96,60,64,64,0.9932810750279956
libz-sys@1.1.23,7,4,971,165,11,72,56,40,32,0.9839816933638444
linked-hash-map@0.5.6,6,2,1000,596,3,36,36,24,24,1
linux-raw-sys@0.12.0,28,5,5,2,3,150994944,94371840,,,
litemap@0.8.1,7,4,41,15,5,96,56,,,
lock_api@0.4.14,6,1,813,650,5,64,48,16,16,1
log@0.4.28,26,18,1000,901,14,11272192,1220608,29360128,18874368,0.9977777777777778
lru@0.16.2,3,2,468,452,2,5,5,4,4,1
matchers@0.2.0,2,0,6,6,1,4,4,,,
matchit@0.9.0,2,0,30,30,1,4,4,,,
md-5@0.11.0-rc.3,5,2,14,6,2,24,20,,,
memchr@2.7.6,9,5,997,863,6,216,108,128,128,0.9944320712694877
memoffset@0.9.1,3,0,822,816,2,8,8,4,4,1
mime_guess@2.0.5,2,1,1000,949,3,3,3,3,3,1
minimal-lexical@0.1.4,6,1,2,2,1,48,48,,,
miniz_oxide@0.8.9,10,4,453,356,9,432,360,288,192,0.9705882352941176
mio@1.1.0,5,2,671,103,10,18,18,12,10,0.9387417218543046
multimap@0.10.1,3,2,524,499,2,4,4,1,1,0.951271186440678
native-tls@0.2.14,3,0,961,868,5,8,8,5,4,0.9907514450867052
nix@0.30.1,37,14,489,21,96,21743271936,4232577024,5897216,1835008,0.7392290249433107
nom@8.0.0,4,2,526,483,4,12,8,4,4,0.9620253164556962
nu-ansi-term@0.50.3,5,2,927,804,4,18,18,12,12,1
num@0.1.43,9,13,5,5,1,117,53,,,
num-bigint@0.1.45,4,2,0,0,0,12,10,,,
num-complex@0.1.44,4,1,0,0,0,12,12,,,
num-integer@0.1.46,3,1,1000,771,5,6,6,6,5,1
num-iter@0.1.45,3,1,311,235,3,6,6,4,4,1
num-rational@0.1.43,5,3,1,1,1,18,14,,,
num-traits@0.2.19,4,1,1000,798,6,12,12,8,8,0.9911111111111112
num_enum@0.7.5,4,1,963,809,4,12,12,8,8,0.9873125720876585
num_enum_derive@0.7.5,5,2,5,1,2,16,16,,,
object@0.38.0,32,53,1,0,1,56623104,1099160,,,
once_cell@1.21.3,10,6,1000,962,5,216,120,64,64,0.9666666666666667
openssl@0.10.75,10,0,973,397,6,1024,1024,768,768,0.9817351598173516
openssl-sys@0.9.111,8,3,934,212,4,108,108,256,256,1
opentelemetry@0.31.0,13,13,454,358,7,1536,364,24,20,0.9731051344743277
ordered-float@5.1.0,19,6,633,357,6,147456,92160,163840,98304,1
os_str_bytes@7.1.1,5,3,58,26,4,18,15,,,
parking_lot@0.12.5,8,0,994,920,12,256,256,128,96,0.9743016759776536
parking_lot_core@0.9.12,5,2,179,134,5,24,20,4,4,0.7901234567901234
pbkdf2@0.13.0-rc.2,8,7,22,11,5,96,56,,,
pem@3.0.6,4,2,908,868,5,9,9,4,4,0.9828850855745721
percent-encoding@2.3.2,3,2,1000,980,2,6,4,1,1,0.9777777777777777
pest@2.8.4,9,7,988,919,5,192,106,8,8,0.996629213483146
pest_derive@2.8.4,4,1,991,952,4,12,12,4,4,0.9775784753363229
pest_generator@2.8.4,5,1,50,12,3,24,24,,,
pest_meta@2.8.4,3,0,247,245,2,8,8,4,4,1
petgraph@0.8.3,16,21,587,413,16,13824,2290,1024,448,0.8998109640831758
phf@0.13.1,7,2,464,73,8,72,72,16,16,0.9258373205741627
phf_shared@0.13.1,4,1,14,9,2,12,12,,,
pkcs8@0.11.0-rc.8,11,11,90,19,5,640,208,,,
portable-atomic@1.11.1,11,1,967,367,21,1536,1536,1088,176,0.9862227324913893
powerfmt@0.2.0,5,4,27,0,1,16,10,,,
ppv-lite86@0.2.21,4,1,37,21,3,12,12,,,
prettyplease@0.2.37,2,0,995,961,4,4,4,3,3,0.9955357142857143
proc-macro-error@1.0.4,3,2,997,896,3,4,4,2,2,0.9988864142538976
proc-macro2@1.0.103,4,1,999,885,7,12,12,4,4,0.9722222222222222
prost@0.14.1,5,3,468,433,4,16,14,6,6,0.985781990521327
prost-build@0.14.1,7,5,59,59,1,48,30,,,
prost-types@0.14.1,4,1,674,658,3,12,12,8,8,1
pyo3-build-config@0.27.1,14,9,2,1,2,1152,240,,,
quick-xml@0.38.4,12,4,718,164,14,1440,1440,192,136,0.9613601236476044
quote@1.0.42,2,1,999,978,3,3,3,2,2,0.9988888888888889
radium@1.1.1,3,1,8,8,1,8,6,,,
rand@0.10.0-rc.5,15,12,3,3,1,6400,3072,,,
rand_chacha@0.10.0-rc.1,3,1,0,0,0,6,6,,,
rand_core@0.10.0-rc-2,2,0,39,16,2,4,4,,,
rand_xorshift@0.5.0-rc.0,2,0,1,1,1,4,4,,,
rayon@1.11.0,3,1,998,941,2,6,6,8,8,1
rayon-core@1.13.0,3,1,357,344,3,6,6,8,8,1
redox_syscall@0.5.18,5,2,102,101,2,18,18,8,8,1
regex@1.12.2,24,20,1000,934,14,3932160,747708,64,64,0.97
regex-automata@0.4.13,35,45,498,396,23,168192000,11204177,136,88,0.9042316258351893
regex-syntax@0.8.8,11,9,983,699,6,1024,518,12,10,0.9977401129943503
reqwest@0.12.24,59,61,865,48,114,90786335293440,205782960000,75497472,9699328,0.8318356867779204
ring@0.17.14,11,3,950,812,7,1536,1024,512,512,0.9964912280701754
rustc-demangle@0.1.26,5,1,1000,976,2,24,24,16,16,1
rustc-hash@2.1.1,4,2,955,757,4,10,10,4,4,0.8
rustix@1.1.2,35,33,838,26,95,8153726976,360452000,652902400,60981248,0.833112582781457
rustls@0.23.35,17,14,894,395,26,20736,6048,3840,1792,0.977639751552795
rustls-pemfile@2.2.0,2,1,866,837,3,3,3,2,2,0.9756410256410256
rustls-pki-types@1.13.0,6,4,997,830,5,18,18,6,5,1
rustls-webpki@0.103.8,7,4,153,87,8,96,40,28,24,0.8913043478260869
ryu@1.0.20,3,0,1000,964,4,8,8,6,6,0.9966666666666667
scopeguard@1.2.0,2,1,997,922,3,3,3,2,2,0.9988864142538976
security-framework@3.5.1,11,7,125,90,5,640,192,32,32,0.7079646017699115
security-framework-sys@2.15.0,8,7,127,47,5,16,12,16,16,1
semver@1.0.27,3,1,995,665,5,6,6,4,4,0.9944196428571429
serde@1.0.228,7,2,999,68,10,72,72,18,12,0.9766666666666667
serde_derive@1.0.228,2,0,999,963,3,4,4,4,4,1
serde_json@1.0.145,9,3,996,926,12,288,256,80,48,0.9933110367892977
serde_spanned@1.0.3,5,4,31,8,3,16,10,,,
serde_with@3.16.0,24,23,974,410,22,1492992,539280,217088,86016,0.9794754846066135
serde_with_macros@3.16.0,4,0,21,21,1,16,16,,,
sha1@0.11.0-rc.3,5,2,24,13,3,24,20,,,
sha2@0.11.0-rc.3,4,2,17,6,3,12,10,,,
shlex@1.3.0,2,1,1000,972,3,3,3,3,3,1
signature@3.0.0-rc.5,4,0,83,21,8,16,16,,,
siphasher@1.0.1,6,4,808,745,3,30,26,24,24,1
slab@0.4.11,3,1,998,929,3,6,6,3,3,1
smallvec@2.0.0-alpha.12,9,1,21,11,2,384,384,,,
socket2@0.6.1,2,0,541,333,4,4,4,2,2,0.971252566735113
spin@0.10.0,15,16,647,423,22,7680,2736,800,272,0.9502572898799314
spki@0.8.0-rc.4,10,6,84,34,5,432,210,,,
stable_deref_trait@1.2.1,3,2,1000,697,4,6,4,4,4,1
static_assertions@1.1.0,2,0,1000,990,3,4,4,4,4,1
strum@0.27.2,5,2,705,160,8,18,18,6,6,0.9511811023622048
subtle@2.6.1,6,2,1000,685,8,48,40,48,36,0.9944444444444445
syn@2.0.111,13,6,912,168,34,4096,3136,142,52,0.9415347137637028
sync_wrapper@1.0.2,3,1,519,286,3,6,6,3,3,1
synstructure@0.13.2,2,1,371,371,1,3,3,1,1,1
target-lexicon@0.13.3,6,2,653,494,3,48,40,32,32,1
tempfile@3.23.0,3,1,991,960,4,6,6,4,4,1
textwrap@0.16.2,6,3,880,756,9,48,36,6,6,0.9684343434343434
thiserror@2.0.17,2,1,692,661,2,3,3,2,2,1
thread_local@1.1.9,2,0,1000,967,2,4,4,4,4,1
time@0.3.44,21,18,985,291,54,186624,35640,18432,8960,0.9740698985343855
time-macros@0.2.24,5,0,16,12,2,32,32,,,
tinystr@0.8.2,7,2,155,52,8,96,72,32,28,0.9571428571428572
tinyvec@1.10.0,18,4,1000,218,26,98304,65536,46080,7936,0.9555555555555556
tokio@1.47.2,23,31,827,19,125,1437696,165320,9718,2566,0.8214765100671141
tokio-native-tls@0.3.1,2,0,1000,992,2,4,4,2,2,0.9911111111111112
tokio-rustls@0.26.4,10,4,850,558,16,576,448,288,224,0.9869281045751634
tokio-stream@0.1.17,9,8,1000,722,21,192,146,128,128,0.9944444444444445
tokio-util@0.7.17,16,14,997,437,34,11520,5192,334,162,0.9532293986636972
toml@0.9.8,17,15,544,449,11,13824,4660,80,80,0.9693877551020408
toml_datetime@0.7.3,5,3,32,23,2,18,12,,,
toml_edit@0.23.7,13,10,621,472,5,1536,700,32,32,0.9445438282647585
tonic@0.14.2,28,34,551,210,27,5184000,223440,360,160,0.8306451612903226
tonic-build@0.14.2,2,1,18,14,3,3,3,,,
tower@0.5.2,31,72,769,474,27,79764480,731144,380,104,0.9321789321789322
tower-http@0.6.7,50,109,714,11,71,13068612403200,99823386626,12799,2390,0.838258164852255
tracing@0.1.42,20,4,999,861,12,393216,344064,131072,131072,0.9755555555555555
tracing-attributes@0.1.31,2,0,348,317,3,4,4,4,4,1
tracing-core@0.1.35,4,2,989,889,3,8,8,4,4,0.9932659932659933
tracing-log@0.2.0,6,4,977,883,4,36,25,4,4,1
tracing-serde@0.2.0,4,2,192,189,2,12,10,8,8,0.9826589595375722
tracing-subscriber@0.3.21,28,26,999,161,35,19906560,1878456,1184,608,0.9544444444444444
tungstenite@0.28.0,17,14,178,119,6,15360,3600,80,64,0.9875776397515528
typenum@1.19.0,8,1,1000,822,7,192,128,160,64,0.98
ucd-trie@0.1.7,2,1,222,149,2,3,3,2,2,1
unicase@2.8.1,2,0,998,919,2,4,4,4,4,1
unicode-bidi@0.3.18,11,5,741,626,4,864,600,768,768,0.9835082458770614
unicode-normalization@0.1.25,2,1,999,945,2,3,3,1,1,0.9466666666666667
unicode-segmentation@1.12.0,2,0,1000,974,2,4,4,4,4,1
unicode-width@0.2.2,6,3,754,709,3,48,30,32,32,0.9970544918998527
unicode-xid@0.2.6,3,0,1000,966,2,8,8,8,8,1
url@2.5.7,5,2,986,966,3,16,16,4,4,0.9797297297297297
utf8parse@0.2.2,2,0,144,144,1,4,4,2,2,1
uuid@1.18.1,33,22,975,79,34,145981440,41472000,268435456,167772160,0.9908883826879271
vec_map@0.8.2,3,1,948,836,3,6,6,3,3,1
wasi@0.14.7+wasi-0.2.4,3,0,152,146,2,8,8,4,4,0.9635036496350365
wasm-bindgen@0.2.105,12,5,936,854,6,1920,1536,448,384,0.99644128113879
wasm-bindgen-backend@0.2.104,2,0,3,3,1,4,4,,,
wasm-bindgen-futures@0.4.55,4,2,994,984,3,9,9,4,4,0.9921787709497206
wasm-bindgen-macro@0.2.105,2,0,3,3,1,4,4,,,
wasm-bindgen-macro-support@0.2.105,3,0,53,53,1,8,8,,,
web-sys@0.3.82,1672,1040,926,133,188,,,,,
which@8.0.0,7,4,668,635,4,64,40,4,4,0.9700996677740864
winapi@0.3.9,400,1,975,103,162,,,,,
windows@0.62.2,674,671,436,10,117,,,,,
windows-core@0.62.2,2,1,111,100,2,3,3,1,1,0.9
windows-sys@0.61.2,247,245,450,24,91,489076647888359500000000000000000000000000000000000000000000000000000000,5381992655523472000000000000000000000000000000000000000000000000000,1332845835925822800000000000000000000000000000000000000000000000000,44325779012839990000000000000000000000000000000000000000000000000,0.4345679012345679
winnow@0.7.14,12,12,794,559,7,1152,430,512,512,0.9454545454545454
winreg@0.55.0,5,2,294,240,2,24,20,32,32,1
writeable@0.6.2,3,1,138,33,4,8,6,4,4,0.984
wyz@0.6.1,4,2,70,70,1,12,8,,,
yoke@0.8.1,6,5,66,5,5,30,22,,,
zerocopy@0.8.30,9,7,859,364,13,256,116,192,160,0.9961240310077519
zerofrom@0.1.6,4,2,130,46,5,12,9,8,8,1
zeroize@1.8.2,8,3,997,353,23,192,120,28,18,0.9543429844097996
zerovec@0.11.5,10,3,178,8,12,576,480,384,384,0.7639751552795031
zstd@0.13.3,15,3,941,787,9,24576,18432,3072,2560,0.9929161747343566
zstd-safe@7.2.4,16,3,374,286,7,49152,36864,2560,2048,0.913946587537092
zstd-sys@2.0.16+zstd.1.5.7,15,2,203,118,7,24576,20480,8192,7168,0.9344262295081968
